game_id,home_team_id,away_team_id,H0oA1,won(T1F0),settled_in1100,goals,sh1s,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,give1s,take1s,winPctTrain,ptPct,goalRating,scoreFirst,leadFirst,outShoot,teamSeasonScore,gameScore,,,,Avg,Max,Min
2015020001,8,10,1,1,0,3,29,26,8,1,0,46.9,9,6,0.463414634,51.8,-0.134,0.4746,0.804,0.804,1.121003659,0.749,,,SS,1.180500695,1.727132927,0.371073171
2015020001,10,8,0,0,0,1,37,26,4,3,1,53.1,4,7,0.426829268,52.4,-0.305,0.3826,0.7528,0.7528,1.026507317,2.051,,,GS,1.358461147,4.267,-0.199
2015020002,3,16,1,1,0,3,27,43,4,0,0,47.4,13,10,0.5,58.5,0.012,0.4816,0.8478,0.8478,1.2573,0.859,,,,,,
2015020002,16,3,0,0,0,2,34,25,2,1,0,52.6,11,3,0.5,58.5,0.134,0.452,0.7822,0.7822,1.2476,0.811,,,,,,
2015020003,23,20,1,1,0,5,44,16,36,3,0,47.8,4,5,0.609756098,66.5,0.452,0.5802,0.897,0.897,1.523989025,0.658,,,,,,
2015020003,20,23,0,0,0,1,30,28,38,2,0,52.2,4,11,0.37804878,42.7,-0.524,0.3556,0.8234,0.8234,0.891112195,0.722,,,,,,
2015020004,28,26,1,1,0,5,32,19,24,8,2,48.6,2,1,0.426829268,47.6,-0.293,0.4178,0.8142,0.8142,1.021007317,1.391,,,,,,
2015020004,26,28,0,0,0,1,20,33,36,6,0,51.4,7,2,0.414634146,46.3,-0.426,0.4046,0.7796,0.7796,0.951108537,0.419,,,,,,
2015020005,6,52,0,0,0,2,31,31,2,2,0,49.2,11,4,0.426829268,49.4,-0.195,0.4188,0.7674,0.7674,1.040357317,0.797,,,,,,
2015020005,52,6,1,1,0,6,32,32,6,0,0,50.8,8,7,0.42682,47.6,-0.293,0.31716,0.70092,0.32556,0.845365,0.908,,,,,,
2015020006,7,9,0,0,0,1,27,11,0,3,1,41.7,8,6,0.463414634,50,-0.207,0.4384,0.8244,0.8244,1.085903659,1.702,,,,,,
2015020006,9,7,1,1,0,3,22,22,6,0,0,58.3,3,4,0.353658537,42.1,-0.586,0.3652,0.6954,0.6954,0.801914634,0.873,,,,,,
2015020007,14,4,0,1,1,3,32,25,6,3,1,49.2,14,7,0.573170732,62.8,0.33,0.4338,0.8912,0.8912,1.407842683,1.737,,,,,,
2015020007,4,14,1,0,1,2,25,26,6,3,1,50.8,8,6,0.585365854,63.4,0.512,0.5644,0.9636,0.9636,1.531241464,1.788,,,,,,
2015020008,22,19,1,0,0,1,25,14,13,3,1,35.8,4,3,0.56097561,62.8,0.329,0.499,0.793,0.793,1.371743903,1.528,,,,,,
2015020008,19,22,0,1,0,3,31,22,13,3,0,64.2,3,7,0.475609756,50,-0.342,0.4352,0.7444,0.7444,1.014402439,1.012,,,,,,
2015020009,18,12,0,1,0,2,25,15,6,3,1,35.3,9,5,0.426829268,47,-0.341,0.368,0.7802,0.7802,0.973557317,1.538,,,,,,
